count,old_condition,new_condition,new_subset
6,RULER Avg.; non-thinking,non-thinking,RULER Avg.
6,RULER Avg.; thinking,thinking,RULER Avg.
6,Reasoning,,Reasoning
6,Safety,,Safety
6,extended thinking; with safeguards; 1 attempt,extended thinking; with safeguards; 1 attempt,
6,extended thinking; with safeguards; 200 attempts,extended thinking; with safeguards; 200 attempts,
6,extended thinking; without safeguards; 1 attempt,extended thinking; without safeguards; 1 attempt,
6,extended thinking; without safeguards; 200 attempts,extended thinking; without safeguards; 200 attempts,
6,no web,no web,
6,single attempt high,single attempt high,
6,standard thinking; with safeguards; 1 attempt,standard thinking; with safeguards; 1 attempt,
6,standard thinking; with safeguards; 200 attempts,standard thinking; with safeguards; 200 attempts,
6,standard thinking; without safeguards; 1 attempt,standard thinking; without safeguards; 1 attempt,
6,standard thinking; without safeguards; 200 attempts,standard thinking; without safeguards; 200 attempts,
6,thinking; no web,thinking; no web,
5,"Arabic, high",high,Arabic
5,"Average, high",high,Average
5,"Bengali, high",high,Bengali
5,"Chinese, high",high,Chinese
5,Extended Thinking,Extended Thinking,
5,"French, high",high,French
5,"German, high",high,German
5,"Hindi, high",high,Hindi
5,"Indonesian, high",high,Indonesian
5,"Italian, high",high,Italian
5,"Japanese, high",high,Japanese
5,"Korean, high",high,Korean
5,"Portuguese, high",high,Portuguese
5,"Spanish, high",high,Spanish
5,"Swahili, high",high,Swahili
5,Terminus Acc.,Terminus Acc.,
5,"Yoruba, high",high,Yoruba
5,maj@64,maj@64,
5,no tools; text-only subset,no tools,text-only subset
5,public split,,public split
5,thinking-helpful-only; July 26,thinking-helpful-only; July 26,
5,thinking; July 13,thinking; July 13,
5,top 2 bugs removed,top 2 bugs removed,
5,vs Gemini 1.5 Pro 002,,vs Gemini 1.5 Pro 002
4,10-shot,10-shot,
4,128k high,high,128k
4,5-shot Avg@8,5-shot Avg@8,
4,6-shot,6-shot,
4,Afro-Asiatic; non-thinking,non-thinking,Afro-Asiatic
4,Afro-Asiatic; thinking,thinking,Afro-Asiatic
4,Austroasiatic; non-thinking,non-thinking,Austroasiatic
4,Austroasiatic; thinking,thinking,Austroasiatic
4,Austronesian; non-thinking,non-thinking,Austronesian
4,Austronesian; thinking,thinking,Austronesian
4,Avg Token Usage per Interaction,Avg Token Usage per Interaction,
4,Criminal / Base64,,Criminal / Base64
4,Criminal / Basic,,Criminal / Basic
4,Criminal / Crescendo,,Criminal / Crescendo
4,Criminal / Iterative Jailbreak,,Criminal / Iterative Jailbreak
4,Criminal / Prompt Injection,,Criminal / Prompt Injection
4,Distinguish biology-related from other conversations,,Distinguish biology-related from other conversations
4,Distinguish uplifting dual-use or weaponization content from other biology conversations,,Distinguish uplifting dual-use or weaponization content from other biology conversations
4,Dravidian; non-thinking,non-thinking,Dravidian
4,Dravidian; thinking,thinking,Dravidian
4,Harmful / Base64,,Harmful / Base64
4,Harmful / Basic,,Harmful / Basic
4,Harmful / Crescendo,,Harmful / Crescendo
4,Harmful / Iterative Jailbreak,,Harmful / Iterative Jailbreak
4,Harmful / Prompt Injection,,Harmful / Prompt Injection
4,Indo-European; non-thinking,non-thinking,Indo-European
4,Indo-European; thinking,thinking,Indo-European
4,Misinformation / Base64,,Misinformation / Base64
4,Misinformation / Basic,,Misinformation / Basic
4,Misinformation / Crescendo,,Misinformation / Crescendo
4,Misinformation / Iterative Jailbreak,,Misinformation / Iterative Jailbreak
4,Misinformation / Prompt Injection,,Misinformation / Prompt Injection
4,OSS-SFT,OSS-SFT,
4,OSS-SFT + RL,OSS-SFT + RL,
4,Other; non-thinking,non-thinking,Other
4,Other; thinking,thinking,Other
4,Privacy / Base64,,Privacy / Base64
4,Privacy / Basic,,Privacy / Basic
4,Privacy / Crescendo,,Privacy / Crescendo
4,Privacy / Iterative Jailbreak,,Privacy / Iterative Jailbreak
4,Privacy / Prompt Injection,,Privacy / Prompt Injection
4,RULER 128K,,RULER 128K
4,RULER 16K,,RULER 16K
4,RULER 32K,,RULER 32K
4,RULER 4K,,RULER 4K
4,RULER 64K,,RULER 64K
4,RULER 8K,,RULER 8K
4,RULER Avg.,,RULER Avg.
4,Security / Base64,,Security / Base64
4,Security / Basic,,Security / Basic
4,Security / Crescendo,,Security / Crescendo
4,Security / Iterative Jailbreak,,Security / Iterative Jailbreak
4,Security / Prompt Injection,,Security / Prompt Injection
4,Sino-Tibetan; non-thinking,non-thinking,Sino-Tibetan
4,Sino-Tibetan; thinking,thinking,Sino-Tibetan
4,Tai-Kadai; non-thinking,non-thinking,Tai-Kadai
4,Tai-Kadai; thinking,thinking,Tai-Kadai
4,Tool Calling Success Rate,Tool Calling Success Rate,
4,Turkic; non-thinking,non-thinking,Turkic
4,Turkic; thinking,thinking,Turkic
4,Uralic; non-thinking,non-thinking,Uralic
4,Uralic; thinking,thinking,Uralic
4,abuse/disinformation/hate prompts,,abuse/disinformation/hate prompts
4,base; 3-shot,base; 3-shot,
4,helpful-only-2025-04-03; high,helpful-only-2025-04-03; high,
4,illicit/non-violent-crime prompts,,illicit/non-violent-crime prompts
4,impossible tasks anti-hack prompt,,impossible tasks anti-hack prompt
4,impossible tasks no prompt,,impossible tasks no prompt
4,maj@4,maj@4,
4,model only,model only,
4,model with improved safeguards,model with improved safeguards,
4,model with old safeguards,model with old safeguards,
4,no safeguards,no safeguards,
4,no tools; full,no tools,full
4,non-English; 5-shot,5-shot,non-English
4,platinum 8-shot,platinum 8-shot,
4,self-harm/intent and self-harm/instructions,,self-harm/intent and self-harm/instructions
4,sexual-content prompts,,sexual-content prompts
4,standard thinking; ambiguous,standard thinking,ambiguous
4,standard thinking; disambiguated,standard thinking,disambiguated
4,subset of training data,,subset of training data
4,thinking-pro; browsing launch candidate,thinking-pro; browsing launch candidate,
4,thinking; browsing helpful-only,thinking; browsing helpful-only,
4,thinking; no browsing launch candidate,thinking; no browsing launch candidate,
4,v6 1-shot,v6 1-shot,
4,validation,,validation
4,violence prompts,,violence prompts
4,without FileTool reminder,without FileTool reminder,
3,256K-1M,,256K-1M
3,64k thinking,thinking,64k
3,Actor Critic; vs Gemini 1.5 Flash 002,Actor Critic,vs Gemini 1.5 Flash 002
3,Agentic Multi-Attempt Pass@1,Agentic Multi-Attempt Pass@1,
3,Airline (corrected),,Airline (corrected)
3,Airline (original),,Airline (original)
